ATLAS3-SUSIM  13 Nov 1994.
Wavelength in nm and Irradiance in mW/m2/nm
0.15 nm resolution (FWHM)
 
Wavelength Irradiance
  196.36  5.6852e+00
  196.41  5.9144e+00
  196.46  6.2059e+00
  196.51  6.4816e+00
  196.56  6.5231e+00
  196.61  6.7418e+00
  196.66  6.8284e+00
  196.71  6.8955e+00
  196.76  6.8936e+00
  196.81  6.9079e+00
  196.86  6.9754e+00
  196.91  7.0194e+00
  196.96  6.9801e+00
  197.01  6.8675e+00
  197.06  6.4550e+00
  197.11  6.3435e+00
  197.16  6.4115e+00
  197.21  6.3441e+00
  197.26  6.4290e+00
  197.31  6.5411e+00
  197.36  6.6281e+00
  197.41  6.4030e+00
  197.46  6.2651e+00
  197.51  6.3272e+00
  197.56  6.3677e+00
  197.61  6.4384e+00
  197.66  6.3372e+00
  197.71  6.0599e+00
  197.76  6.0500e+00
  197.81  6.2859e+00
  197.86  6.3592e+00
  197.91  6.1511e+00
  197.96  6.2833e+00
  198.01  6.2729e+00
  198.06  6.2977e+00
  198.11  6.5358e+00
  198.16  7.0389e+00
  198.21  7.1660e+00
  198.26  7.0068e+00
  198.31  6.5842e+00
  198.36  6.3985e+00
  198.41  6.4745e+00
  198.46  6.6133e+00
  198.51  6.8726e+00
  198.56  6.6070e+00
  198.61  6.2646e+00
  198.66  5.9023e+00
  198.71  5.8869e+00
  198.76  6.1909e+00
  198.81  6.2947e+00
  198.86  6.0262e+00
  198.91  5.9639e+00
  198.96  6.2309e+00
  199.01  6.4519e+00
  199.06  6.5027e+00
  199.11  6.4449e+00
  199.16  6.4598e+00
  199.21  6.6904e+00
  199.26  6.9280e+00
  199.31  7.4541e+00
  199.36  7.7228e+00
  199.41  7.1849e+00
  199.46  7.0278e+00
  199.51  6.8934e+00
  199.56  7.0147e+00
  199.61  7.0334e+00
  199.66  6.9702e+00
  199.71  6.6655e+00
  199.76  6.6972e+00
  199.81  7.1959e+00
  199.86  7.4680e+00
  199.91  7.2329e+00
  199.96  7.0687e+00
  200.01  7.1670e+00
  200.06  7.1469e+00
  200.11  7.0116e+00
  200.16  7.1680e+00
  200.21  7.6592e+00
  200.26  7.6373e+00
  200.31  7.6269e+00
  200.36  7.7203e+00
  200.41  7.5927e+00
  200.46  7.2557e+00
  200.51  7.4021e+00
  200.56  7.6353e+00
  200.61  8.1416e+00
  200.66  7.9015e+00
  200.71  7.7566e+00
  200.76  7.4646e+00
  200.81  7.5203e+00
  200.86  7.6792e+00
  200.91  7.6903e+00
  200.96  7.8334e+00
  201.01  8.1221e+00
  201.06  8.2088e+00
  201.11  7.6749e+00
  201.16  7.2463e+00
  201.21  7.4085e+00
  201.26  8.2720e+00
  201.31  8.7130e+00
  201.36  8.8099e+00
  201.41  8.5171e+00
  201.46  8.1841e+00
  201.51  8.0394e+00
  201.56  8.0357e+00
  201.61  7.9615e+00
  201.66  8.1014e+00
  201.71  8.3464e+00
